10:24:07.322 | INFO     | ============================================================
10:24:07.322 | INFO     | INIT | circuit=Parcours 7 segments | start=(25,10) | angle=0°
10:24:10.593 | DEBUG    | FUZZY | pos=(239,96) | angle=92.5° | G=0 D=6 delta=6 | mu_N=0.00 mu_Z=0.80 mu_P=0.02 | da=0.43°
10:24:10.613 | DEBUG    | FUZZY | pos=(239,99) | angle=92.9° | G=0 D=6 delta=6 | mu_N=0.00 mu_Z=0.80 mu_P=0.02 | da=0.43°
10:24:10.627 | DEBUG    | FUZZY | pos=(239,102) | angle=93.3° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.77 mu_P=0.03 | da=0.50°
10:24:10.643 | DEBUG    | FUZZY | pos=(239,105) | angle=93.8° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.77 mu_P=0.03 | da=0.51°
10:24:10.659 | DEBUG    | FUZZY | pos=(239,108) | angle=94.4° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.77 mu_P=0.03 | da=0.52°
10:24:10.675 | DEBUG    | FUZZY | pos=(239,111) | angle=94.9° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.77 mu_P=0.03 | da=0.52°
10:24:10.691 | DEBUG    | FUZZY | pos=(238,114) | angle=95.4° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.77 mu_P=0.03 | da=0.52°
10:24:10.707 | DEBUG    | FUZZY | pos=(238,117) | angle=95.9° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.77 mu_P=0.03 | da=0.52°
10:24:10.725 | DEBUG    | FUZZY | pos=(238,120) | angle=96.4° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.77 mu_P=0.03 | da=0.52°
10:24:10.741 | DEBUG    | FUZZY | pos=(237,123) | angle=97.0° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.77 mu_P=0.03 | da=0.52°
10:24:10.759 | DEBUG    | FUZZY | pos=(237,126) | angle=97.5° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.77 mu_P=0.03 | da=0.52°
10:24:10.776 | DEBUG    | FUZZY | pos=(237,128) | angle=98.0° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.77 mu_P=0.03 | da=0.52°
10:24:10.791 | DEBUG    | FUZZY | pos=(236,131) | angle=98.5° | G=0 D=3 delta=3 | mu_N=0.00 mu_Z=0.90 mu_P=0.01 | da=0.26°
10:24:10.807 | DEBUG    | FUZZY | pos=(236,134) | angle=98.8° | G=0 D=3 delta=3 | mu_N=0.00 mu_Z=0.90 mu_P=0.01 | da=0.21°
10:24:10.823 | DEBUG    | FUZZY | pos=(235,137) | angle=99.0° | G=0 D=3 delta=3 | mu_N=0.00 mu_Z=0.90 mu_P=0.01 | da=0.20°
10:24:10.840 | DEBUG    | FUZZY | pos=(235,140) | angle=99.2° | G=1 D=3 delta=2 | mu_N=0.00 mu_Z=0.93 mu_P=0.01 | da=0.14°
10:24:10.867 | DEBUG    | FUZZY | pos=(234,143) | angle=99.3° | G=1 D=3 delta=2 | mu_N=0.00 mu_Z=0.93 mu_P=0.01 | da=0.13°
10:24:10.879 | DEBUG    | FUZZY | pos=(234,146) | angle=99.4° | G=1 D=3 delta=2 | mu_N=0.00 mu_Z=0.93 mu_P=0.01 | da=0.13°
10:24:10.891 | DEBUG    | FUZZY | pos=(233,149) | angle=99.6° | G=1 D=3 delta=2 | mu_N=0.00 mu_Z=0.93 mu_P=0.01 | da=0.13°
10:24:10.907 | DEBUG    | FUZZY | pos=(233,152) | angle=99.7° | G=1 D=3 delta=2 | mu_N=0.00 mu_Z=0.93 mu_P=0.01 | da=0.13°
10:24:10.929 | DEBUG    | FUZZY | pos=(232,155) | angle=99.8° | G=1 D=3 delta=2 | mu_N=0.00 mu_Z=0.93 mu_P=0.01 | da=0.13°
10:24:10.941 | DEBUG    | FUZZY | pos=(232,158) | angle=99.9° | G=1 D=3 delta=2 | mu_N=0.00 mu_Z=0.93 mu_P=0.01 | da=0.13°
10:24:10.956 | DEBUG    | FUZZY | pos=(231,161) | angle=100.1° | G=1 D=3 delta=2 | mu_N=0.00 mu_Z=0.93 mu_P=0.01 | da=0.13°
10:24:10.972 | DEBUG    | FUZZY | pos=(231,164) | angle=100.2° | G=1 D=3 delta=2 | mu_N=0.00 mu_Z=0.93 mu_P=0.01 | da=0.13°
10:24:10.988 | DEBUG    | FUZZY | pos=(230,167) | angle=100.3° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.03°
10:24:11.008 | DEBUG    | FUZZY | pos=(230,170) | angle=100.3° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.01°
10:24:11.021 | DEBUG    | FUZZY | pos=(229,173) | angle=100.3° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:11.038 | DEBUG    | FUZZY | pos=(229,176) | angle=100.3° | G=3 D=1 delta=-2 | mu_N=0.01 mu_Z=0.93 mu_P=0.00 | da=-0.10°
10:24:11.055 | DEBUG    | FUZZY | pos=(228,179) | angle=100.2° | G=3 D=1 delta=-2 | mu_N=0.01 mu_Z=0.93 mu_P=0.00 | da=-0.12°
10:24:11.073 | DEBUG    | FUZZY | pos=(228,182) | angle=100.1° | G=3 D=1 delta=-2 | mu_N=0.01 mu_Z=0.93 mu_P=0.00 | da=-0.12°
10:24:11.090 | DEBUG    | FUZZY | pos=(227,185) | angle=100.0° | G=3 D=1 delta=-2 | mu_N=0.01 mu_Z=0.93 mu_P=0.00 | da=-0.12°
10:24:11.105 | DEBUG    | FUZZY | pos=(227,188) | angle=99.9° | G=3 D=1 delta=-2 | mu_N=0.01 mu_Z=0.93 mu_P=0.00 | da=-0.12°
10:24:11.121 | DEBUG    | FUZZY | pos=(226,191) | angle=99.7° | G=3 D=1 delta=-2 | mu_N=0.01 mu_Z=0.93 mu_P=0.00 | da=-0.12°
10:24:11.149 | DEBUG    | FUZZY | pos=(225,194) | angle=99.6° | G=3 D=1 delta=-2 | mu_N=0.01 mu_Z=0.93 mu_P=0.00 | da=-0.12°
10:24:11.159 | DEBUG    | FUZZY | pos=(225,197) | angle=99.5° | G=3 D=1 delta=-2 | mu_N=0.01 mu_Z=0.93 mu_P=0.00 | da=-0.12°
10:24:11.177 | DEBUG    | FUZZY | pos=(224,199) | angle=99.4° | G=3 D=1 delta=-2 | mu_N=0.01 mu_Z=0.93 mu_P=0.00 | da=-0.12°
10:24:11.189 | DEBUG    | FUZZY | pos=(224,202) | angle=99.2° | G=3 D=1 delta=-2 | mu_N=0.01 mu_Z=0.93 mu_P=0.00 | da=-0.12°
10:24:11.209 | DEBUG    | FUZZY | pos=(224,205) | angle=99.1° | G=3 D=0 delta=-3 | mu_N=0.01 mu_Z=0.90 mu_P=0.00 | da=-0.18°
10:24:11.221 | DEBUG    | FUZZY | pos=(223,208) | angle=98.9° | G=3 D=0 delta=-3 | mu_N=0.01 mu_Z=0.90 mu_P=0.00 | da=-0.19°
10:24:11.237 | DEBUG    | FUZZY | pos=(223,211) | angle=98.8° | G=3 D=0 delta=-3 | mu_N=0.01 mu_Z=0.90 mu_P=0.00 | da=-0.19°
10:24:11.252 | DEBUG    | FUZZY | pos=(222,214) | angle=98.6° | G=3 D=0 delta=-3 | mu_N=0.01 mu_Z=0.90 mu_P=0.00 | da=-0.19°
10:24:11.280 | DEBUG    | FUZZY | pos=(222,217) | angle=98.4° | G=3 D=0 delta=-3 | mu_N=0.01 mu_Z=0.90 mu_P=0.00 | da=-0.19°
10:24:11.290 | DEBUG    | FUZZY | pos=(221,220) | angle=98.2° | G=135 D=0 delta=-135 | mu_N=0.53 mu_Z=0.00 mu_P=0.00 | da=-12.04°
10:24:11.310 | DEBUG    | FUZZY | pos=(221,223) | angle=86.1° | G=3 D=1 delta=-2 | mu_N=0.01 mu_Z=0.93 mu_P=0.00 | da=-2.51°
10:24:11.325 | DEBUG    | FUZZY | pos=(221,226) | angle=83.6° | G=3 D=1 delta=-2 | mu_N=0.01 mu_Z=0.93 mu_P=0.00 | da=-0.60°
10:24:11.336 | DEBUG    | FUZZY | pos=(221,229) | angle=83.0° | G=7 D=1 delta=-6 | mu_N=0.02 mu_Z=0.80 mu_P=0.00 | da=-0.46°
10:24:11.356 | DEBUG    | FUZZY | pos=(222,232) | angle=82.6° | G=63 D=1 delta=-62 | mu_N=0.24 mu_Z=0.00 mu_P=0.00 | da=-12.09°
10:24:11.375 | DEBUG    | FUZZY | pos=(222,235) | angle=70.5° | G=7 D=1 delta=-6 | mu_N=0.02 mu_Z=0.80 mu_P=0.00 | da=-2.76°
10:24:11.388 | DEBUG    | FUZZY | pos=(223,238) | angle=67.7° | G=15 D=1 delta=-14 | mu_N=0.05 mu_Z=0.53 mu_P=0.00 | da=-1.67°
